Labels,Feature_0,Product_Name,Feature_1,Feature_2
-1.0,hoursit total hour half screen went completely dark would not turn battery fineit quit working together,AllNew Fire HD  Tablet  HD Display WiFi  GB  Includes Special Offers Magenta,-0.10555555555555557,1.0
-1.0,no goodi purchased tablet week ago gift brother restarted ten times shut someone different occasions getting money back getting samsung,Fire Kids Edition Tablet  Display WiFi  GB Green KidProof Case,0.0,2.0
1.0,neat devicereally cool not using near features far hope add soon,Amazon Fire TvAmazon Fire Tv,0.18333333333333326,5.0
-1.0,special oneits great job go without doubt,Amazon Kindle Paperwhite  eBook reader   GB   monochrome Paperwhite  touchscreen  WiFi  black,0.5785714285714286,5.0
1.0,great work giveaway itembought work fundraiser recipient enjoyed,AllNew Fire HD  Tablet  HD Display WiFi  GB  Includes Special Offers Magenta,0.65,4.0
-1.0,good product issusesnot sure say except jury still,AllNew Fire HD  Tablet  HD Display WiFi  GB  Includes Special Offers Magenta,0.6,5.0
1.0,love iti finally read late night adjust brightness not disrupt sleep,Kindle Voyage Ereader  HighResolution Display  ppi with Adaptive Builtin Light PagePress Sensors WiFi  Includes Special Offers,0.06666666666666668,5.0
-1.0,not exactly expectedi excited purchase amazon echo thought could carry beach little disappointed capabilities battery life use without plugged would excellent,Amazon Fire TvAmazon Fire Tv,0.0625,3.0
1.0,great tablet great pricei bought weeks ago use every day no problems works perfectly complaint camera pictures not clear would prefer though price would buy,Fire Kids Edition Tablet  Display WiFi  GB Green KidProof Case,0.3125,5.0
-1.0,goodgood price basic tablet basic functionality,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.0,3.0
-1.0,not bad basic tabletnot bad basic tablet slow loading apps,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,-0.12999999999999998,3.0
-1.0,adsi hate ads annoying cannot get super confusing even get home page,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,-0.3916666666666667,3.0
1.0,excellent grandson loves itmy grandson uses time great choice,Amazon Kindle Paperwhite  eBook reader   GB   monochrome Paperwhite  touchscreen  WiFi  black,0.9,5.0
-1.0,lasted less yri love service works several times reset finally dead less yr,Certified Refurbished Amazon Fire TV Stick Previous Generation  stCertified Refurbished Amazon Fire TV Stick Previous Generation  st,-0.006666666666666659,2.0
1.0,raffle prizewe used tablet prize raffle winner big hit winner says uses lot,Amazon  Kindle Voyage  GB  WiFi  G  BlackAmazon  Kindle Voyage  GB  WiFi  G  Black,0.0,5.0
-1.0,ok tabletthis ok tablet price able lot things like expensive tablet find slow bought mainly reader not concerned apps etc handy carry purse reading go hooked public wifi seems work ok not much not know security,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.18666666666666665,3.0
-1.0,graat table beinghey man way next days ago way get latest version message lot right,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.2619047619047619,3.0
-1.0,weird ads screen saveri bought black friday one worst buys life screen saver cannot changed kids forced look ads every time want use tablet apps ok honest could dealt ads final deal breaker sd card bought kids sd cards games tablet not read something says sd card inserted not download apps sd card,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,-0.1238095238095238,1.0
-1.0,good slowfor price tough complain occasionally stutter get slow downs overall cannot find tablet price outperform extra money would use new fire hd instead,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.02106782106782105,4.0
1.0,great childrenthank gifts thank great customer service,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.8,5.0
-1.0,product hard use eats batteriesi hard time navigating menus use not intuitive,Certified Refurbished Amazon Fire TV Stick Previous Generation  stKindle Paperwhite,-0.2916666666666667,3.0
1.0,love love lovei one original kindles found absolutely quit reading bulk size kindle decided give one try absolutely love back reading every day reason size paperback lightweight love read night without light however purchase geek squad protection dog sitting lap almost said flying floor jumped lap,Fire Tablet  Display WiFi  GB  Includes Special Offers Black,0.371875,5.0
-1.0,great tablet pricecheap tablet price kid older person might not know use,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.4833333333333333,3.0
1.0,lovei like much voyage shape makes easier holding wish devise maybe inches taller would look like real book,Kindle Oasis Ereader with Leather Charging Cover  Merlot  HighResolution Display  ppi WiFi  Includes Special Offers,0.2,5.0
1.0,great product servicegreat product service refer friend sales man r good,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.75,5.0
1.0,great kindlegreat kindle needs easy use comfortable,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.5444444444444444,5.0
1.0,great productthe tablet light streams well use stream movies much ligher ipad makes mobility much better,Fire Kids Edition Tablet  Display WiFi  GB Green KidProof Case,0.475,5.0
1.0,best tablet kidsthe best tablet kids year unlimited apps favorite kids love,Amazon Kindle Paperwhite  eBook reader   GB   monochrome Paperwhite  touchscreen  WiFi  black,0.75,5.0
1.0,excellenti bought grandkids absolutely love,Echo WhiteEcho White,0.5,5.0
1.0,good price quality sounding speakergreat sounding speaker microphones seems work well good options playing music well easy set wish better connection iphone easier request play songs itunes well make calls phone,Amazon  Amazon Tap Portable Bluetooth and WiFi Speaker  BlackAmazon  Amazon Tap Portable Bluetooth and WiFi Speaker  Black,0.5833333333333333,4.0
-1.0,great ereader not great tableti bought replacement broken tablet several apps would like add not available not update facebook app wind using phone many things used tablet not good e reader would worthless read lot keeping would still like new tablet disappointing,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,-0.13136363636363638,3.0
